Sample_ID,ruralurban,Euryarchaeota,Actinobacteria,Bacteroidetes,Cyanobacteria,Firmicutes,Fusobacteria,Lentisphaerae,Planctomycetes,Proteobacteria,Synergistetes,TM7,Tenericutes,Verrucomicrobia,X_Thermi_
086A,urban,0,2.65083205790467,5.62026428067984,1.73707192051837,5.74282047946788,2.03410542269582,0,0,4.4625215567632,0,0,1.27557872065587,2.10047827061575,0
116A,urban,0,3.56121348844277,5.67261702773368,1.42395715085162,5.68503837894937,3.94135514406839,0,0,4.51534995749132,1.8119675133277,0,0,0,0
099A,urban,0,3.5837783184055,5.60996050958349,0,5.55625812147563,5.34269587547639,0,0,3.93144650043695,1.97132900892688,1.87557728253727,1.29053079495106,0,0
120A,urban,0,3.107762561335,5.68237279005036,0,5.66378585409935,4.20562988025891,0,0,4.60524019980109,1.22056399664827,0,0,1.22056399664827,0
15A,rural,0,3.52260867825952,5.66095090016491,1.79549024498158,5.69905091966905,0,1.12348532344924,0,4.56417409899716,0,0,3.24509210345424,0,0
25A,rural,0,3.57162733609899,5.66086487953873,2.14863736861859,5.66742178505602,0,0,0,4.86432646676015,0,0,0,0,0
7A,rural,0,2.8862390397726,5.37711905024254,0,5.8749892758949,0,0,0,4.04293823360921,0,1.36692559695798,0,0,0
21A,rural,2.5818587953521,3.56390726617479,5.68685164153016,1.36923780881655,5.67791682502042,1.53909836740791,1.8338069697824,0,4.40700229258158,1.95715087593201,0,3.88244499942328,1.08638088245516,0
1A,rural,0,4.06473711441825,5.19681977927839,1.23865148325115,5.88546412769975,2.55646039023981,0,0,4.74098306026859,1.99539293893391,1.23865148325115,3.83302994686992,2.70504915187551,0
081A,urban,0,2.67091982955246,5.64653298238191,1.91191661364056,5.72625379751223,1.23371963585335,0,0,4.37463442687438,2.28901369737357,0,0,0,0
3A,rural,0,3.61402734787835,5.69906336437658,1.06631203006658,5.69170457184764,1.34829034463487,0,0,3.53396646284414,0,0,2.79887706064446,0,0
6A,rural,0,2.50667024787203,5.64810310366911,0,5.69472051273519,1.12425603086172,0,0,4.77671772772272,0,0,0,0,0
18A,rural,0,3.24440108936188,5.67046815136472,1.82340134286143,5.68513713027334,3.60932831618577,0,1.52884489225776,4.59607648170074,1.24047950387725,0,0,3.30840507905906,1.24047950387725
082A,urban,0,2.70442793020575,5.63055110749153,1.26540613087769,5.73531281570597,0,0,0,4.44801269907442,0,0,0,2.82161033211233,0
37A,rural,3.31677049396297,3.30038813223505,5.65268803799165,1.30519552902467,5.66499303695602,2.68198145866549,0,0,4.91832456029874,0,0,2.87478169615367,0,0
28A,rural,0,2.76009615049019,5.84457504259662,0,5.45303425617144,0,0,0,4.1439047408694,0,0,3.40296537368336,0,0
108A,urban,0,2.68857517831691,5.51141529559656,0,5.57554761231744,2.8179793936462,0,0,5.4736964006929,2.36920944950517,0,0,1.34599099589645,0
20A,rural,0,4.19157790896206,5.74420385593333,1.23275787861122,5.59446185915839,2.75141136153686,0,0,4.55469502005411,0,0,1.81532858534458,0,0
39A,rural,0,3.27175505749822,5.59899379240106,1.32860723396467,5.74153749115024,2.21348943167148,0,0,4.68994095751151,1.91510775349319,0,0,2.35106704981658,0
118A,urban,0,2.20251248565683,5.6835578210002,0,5.71020619068467,0,0,0,3.61855353208923,0,1.26953595783465,0,0,0
24A,rural,0,3.25662356648135,5.44804141248873,4.31089630006103,5.78621912712312,1.88639771741276,0,0,3.91419603546746,1.59097279180001,0,3.76445550359235,4.85604231104687,0
119A,urban,0,3.9109021127201,5.42754734124591,0,5.60084895559567,2.03976864187701,0,0,5.5121615207694,1.28099328369391,0,0,0,0
34A,rural,0,4.84589169050404,5.42266915209301,1.68486645812261,5.8183526826778,0,0,0,3.84080991804881,0,0,1.76254969182072,0,0
091A,urban,0,2.75241222044863,5.65571730335778,1.95035987306711,5.72816625351959,3.16060753743705,0,0,3.9642112084967,0,0,1.95035987306711,3.09194315716835,0
098A,urban,0,3.05429538890395,5.60288344693019,0,5.74184759832043,0,2.21149081820216,0,4.51498405352294,0,0,3.61969542268874,3.96234859332475,0
100A,urban,0,3.35260500936548,5.70476092366344,2.03422533311751,5.57455974065744,4.23379496610407,0,0,4.99152342422234,1.35102099365326,0,1.35102099365326,2.37445311499004,0
084A,urban,0,2.63228552994503,5.49954996403191,0,5.76317158390248,2.63228552994503,0,0,5.01434277656756,2.09962490606954,0,0,2.03325318627486,0
107A,urban,0,2.34240813938115,5.49601534323609,1.32032124166501,5.41984265142429,0,0,0,5.62684617167102,0,0,0,0,0
35A,rural,1.37871365514267,2.36205594114493,5.79569156636923,0,5.42018421267336,3.10869131564084,1.84355758928383,0,5.04339615571671,0,0,1.37871365514267,0,0
11A,rural,0,3.13792926539163,5.75938336417696,0,5.59132552747031,1.77695577222297,0,0,4.52780374682965,0,0,0,0,0
10A,rural,0,4.34333509864162,5.46756243772483,1.30112861460073,5.82876821562153,2.4564694789913,0,0,3.93212070308251,0,0,2.42661468140073,3.07856054019872,0
109A,urban,0,3.65608168607985,5.69724646816041,1.64881281215739,5.62975835220955,4.27895955721405,0,0,4.71523708385496,0,0,0,2.18586066709715,0
31A,rural,2.38031351251015,2.60143800484793,5.79135368544345,0,5.56561496315453,0,0,0,4.07069872299143,2.20512587985649,0,3.03744055216722,1.4403081435033,0
29A,rural,1.73518004547857,2.70569424779669,5.84874066269004,2.70569424779669,5.39199323620583,2.12829875660372,3.38530483483576,0,4.6366806100453,1.73518004547857,0,2.70569424779669,0,0
101A,urban,0,4.00833444956267,5.74498717363597,3.19343531082098,5.58943500280803,2.85230900760805,0,0,4.63460037641611,0,0,0,0,0
083A,urban,0,3.87017075440989,5.75182065579565,1.36799646138832,5.57228945761163,2.42977276067579,0,0,4.73297692628744,1.36799646138832,0,0,0,0
13A,rural,0,3.33899690942772,5.70077358371833,0,5.66662547099577,4.21631404364114,0,0,4.18043159599817,0,1.33020782040808,0,0,0
093A,urban,0,2.65732586897082,5.60578111274882,1.60655179224278,5.64607104693413,4.65239497244655,0,0,5.03477072376218,0,1.31613665677981,0,2.14287573970015,0
094A,urban,0,3.99162111615127,5.86100999934449,0,5.29377550342193,2.16101275892241,0,0,4.82763799847584,0,0,0,0,0
085A,urban,0,2.9506406268431,5.82911120689013,0,5.44752483928257,0,0,1.16162504961657,4.30787906211119,2.24701922789239,0,0,4.37416230199825,0
