Sample_ID,sample_type,Thermi,Actinobacteria,Bacteroidetes,Cyanobacteria,Deferribacteres,Euryarchaeota,Firmicutes,Fusobacteria,Lentisphaerae,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,TM7,Unassigned,Verrucomicrobia
ST00001,stool,0,3.25406055655327,5.67634058302986,0,0,0,5.67904267678782,0,0,3.76655246822689,0,0,0,0,4.60353597729316,1.63063689344946
ST00003,stool,0,3.90456074119847,5.6080653701411,2.63059731969412,0,0,5.73882120247443,0,2.45501410653532,4.18591024885187,0,0,3.15276380077647,2.03157672697759,4.27796235232309,3.25820808697979
ST00005,stool,0,2.41192762433837,5.6305257247421,0,0,0,5.72953599921189,0,0,2.29848861473945,0,0,1.15194784733322,0.880495504558292,4.55598446004509,0
ST00006,stool,0,3.58239561448826,5.66010988446964,0,0,0,5.68848499559666,0,0,4.50861528867784,0,0,0,0,4.27064686361596,0
ST00008,stool,0,2.75182900250005,5.79184962795288,3.91951597491943,0,0,5.47654248446587,1.78059362489769,0,4.84595933269344,0,0,2.07800980197633,0,3.27530985070034,2.02053595953076
ST00009,stool,1.65297478145736,4.45613808965079,5.73687711786615,0,0,0,5.61601491338959,0,0,3.65190652274172,0,0,0,1.65297478145736,3.91043464777888,1.65297478145736
ST00015,stool,0,3.27840042134875,5.83450944997475,1.62275553700042,0,0,5.46929020514014,0,0,4.28716161419092,0,0,0,1.9847761754638,2.91383797038093,0
ST00016,stool,1.33982429267051,3.04823937891134,5.85677485204612,0,0,0,5.41940341875263,0,0,4.20910542176676,0,0,0,1.92672854511088,2.93278792455463,0
ST00017,stool,0,4.71570881069522,5.07346174035868,0,0,0,5.90210536360341,0,0,3.73552436591535,0,0,2.78192016513951,0,4.39400338892169,2.78192016513951
ST00018,stool,1.39403336620423,3.85187333166755,5.49661765816254,2.55344834516021,0,0,5.7916326112388,1.68620934311155,0,4.04269840249846,0,0,0,2.65585496380936,4.56816238893059,4.05287312000807
ST00019,stool,0,3.42588043915596,5.82444410940046,2.60560986750796,0,0,5.49662761920507,0,0,4.1164482098369,0,0,1.88325280296261,1.41735018562037,3.37372322191356,2.10282262531022
ST00021,stool,0,4.13278259640517,5.46048336841162,2.17720371638754,0,0,5.83428240911687,1.29387258338708,0,3.58308349407828,0,0,0,1.29387258338708,3.81782492696004,3.63680441763181
ST00023,stool,0,4.0904560053536,5.53037007786227,1.93498316111968,0,0,5.79198175535813,1.57368056509591,0,4.05982113182368,0,0,4.00602017916046,2.51749619799264,3.84604901875857,1.79086817389557
ST00026,stool,0,4.06101039065182,5.52337195074867,1.94535215581612,0,0,5.79214684024108,2.24391249583169,0,3.67288472567032,0,0,3.26285517839378,2.24391249583169,4.39373460145117,3.53159104673818
ST00027,stool,0,4.40494235272995,5.0567966003672,3.54269270856227,0,0,5.88480468392756,0,2.15351826927838,4.19056039637622,0,0,4.34174218202967,2.2776938951742,4.68364544786072,3.60794207074424
ST00028,stool,0,3.88672489547137,5.74059633429099,2.10388220123935,0,0,5.62343255977634,1.7492340478144,0,4.24930803906297,0,0,0,1.51196003033865,3.58128893469444,1.68357478146988
ST00030,stool,0,3.17140653623142,5.82497853622503,0,0,0,5.4531308154644,1.61361514729772,0,4.09710136745755,0,0,0,0,4.52823700456153,1.61361514729772
ST00031,stool,0,3.70528294699645,5.71619686744253,0,0,0,5.61315101100179,4.57738734731686,0,4.39412353691085,0,0,0,0,3.24138773581664,1.59900016307221
ST00035,stool,1.46213726547515,4.33704943108898,5.34561512535228,1.17583922023506,0,0,5.84849589819001,1.17583922023506,0,4.64486719041144,0,0,0,2.14895098128327,3.82716388840112,1.99536787599486
ST00039,stool,0,3.9612948912758,5.56330858940591,0,0,0,5.76516026933954,0,0,4.18312464940793,0,0,0,0,4.43838449306036,0
ST00040,stool,0,4.16118087454821,5.5590921165859,0,0,0,5.76321164974804,4.16118087454821,0,0,0,0,0,0,4.4621958878279,0
ST00041,stool,0,3.55535012079824,5.83483312175958,0,0,0,5.47999060611134,0,0,3.7669330690247,0,0,1.63100865258952,1.92693010078741,3.68151902045811,0
ST00042,stool,2.56327973716567,4.14190588629426,5.40204185312469,2.26343526911899,0,0,5.84158742838247,0,0,4.12441644142328,0,0,4.22722843917667,3.30267003661785,3.77301757905475,2.863715753223
ST00044,stool,0,2.93077919606649,5.6866330069718,0,0,0,5.48278882393922,1.59413991945606,0,5.31766147652057,0,0,0,1.02404566705663,3.1334873875786,0
ST00045,stool,0.916434675632861,3.40206742794385,5.90289016211077,1.19031118180985,0,0,5.20661305610659,0,0,4.56237057207022,0,0,0.665094547757823,1.68234926692594,2.54280355848364,0
ST00046,stool,0,3.7522651796763,5.7658893145031,2.92879157893498,0,0,5.56274987046118,0.897212597515466,0,4.59004960078291,0,1.16981920101093,1.45590803805284,1.88545791658771,3.75961608825092,1.62690245774876
ST00047,stool,0,4.09230558776214,5.35669264451468,2.77329776660039,0,0,5.87281096202359,0,0,3.73413830339642,0,0,3.02531316047348,2.29763796741996,3.83844547925105,0
ST00050,stool,0.876220868007582,3.37909860985416,5.7061404841685,2.09649635383537,0,0,5.58124473746001,4.95018329331446,0,4.17939325371896,0,0,1.14737035083684,1.14737035083684,3.55236016830626,0.876220868007582
ST00051,stool,0,3.69600745957409,5.5512384230573,0,0,0,5.76495421611093,0,0,4.43365859117102,0,0,2.52113882596702,1.68381938935012,4.45434244583436,3.07303793002831
ST00053,stool,0,3.91986565042242,5.59994789674764,1.82343641568546,0,0,5.7390855059129,1.70066609198251,0,4.63724114711357,0,0,0,1.52887944618789,3.21507021451297,1.91904016499022
ST00054,stool,2.8216323966168,4.34578207549693,4.86363723532936,2.6002200045142,0,0,5.79743775870035,0,0,3.79785455194232,0,0,0,3.16369773126159,4.11149044830319,5.40792592727193
ST00056,stool,1.70493160481115,3.6473898606112,5.44642831341808,2.95203628091724,0,0,5.84672852532219,0,0,3.75579189887337,0,1.2446159039206,2.52149624702072,1.70493160481115,3.73378517075349,2.97549184933093
ST00057,stool,1.29877943668156,4.8596457343574,5.1425860938451,2.91038687493485,0,1.29877943668156,5.8095784868277,1.29877943668156,0,3.61494617361155,0,1.97992664719661,4.42975788416636,2.66648740775112,5.04631909156904,1.46753321123746
ST00059,stool,0,2.7808606585757,5.8216893881889,0,0,0,5.47899825719162,0,0,4.33804243609143,0,0,1.03667789617257,1.31727871019458,4.11475966075812,0
ST00060,stool,0,3.50926337412427,5.73205047380226,1.6733438546702,0,0,5.64113787900065,0,0,3.1486392463526,0,0,1.84635292387961,1.6733438546702,4.14836157798878,3.59099897326312
ST00062,stool,0,3.33484257135969,5.43623886924797,0,0,0,5.84174310318422,1.57548818728519,2.26512469224255,3.79174649283143,0,1.57548818728519,3.84031416887375,2.04484552218414,4.11649106015913,3.55954458215147
ST00063,stool,0,3.77861706274377,5.45571402651436,1.826706972177,0,0,5.83897593592179,1.58849642718483,0,4.06819606253288,0,0,0,0,3.80766418122923,0
ST00064,stool,0,2.6820480075532,5.75420289215417,2.05298203331491,0,0,5.60984806017707,1.69010079430019,0,4.3102348686933,0,0,0,1.81281758221588,3.58071372713098,1.23035737273905
ST00065,stool,0,3.71586628369812,5.58058627563028,1.40533646079458,0,0,5.74280475681453,1.57569727061068,0,3.96745775612826,0,0,0,1.90523236792893,4.70530594168577,2.92937925350015
ST00067,stool,0,3.5719500226872,5.63314512161369,0,0,0,5.7352010734767,1.4018783595933,0,4.32235269037191,0,0,0,0,3.14804986213725,2.81634008286473
ST00069,stool,0,3.70070952181812,5.66909026157754,2.65940933164986,1.65947523727803,0.99698092814067,5.6805301670177,2.54319641039387,1.5649369402787,4.39432366511568,0,2.63313985297704,1.5649369402787,1.27557504770877,4.35591048841314,2.1841867722583
ST00070,stool,0,3.77018082214551,5.61168667753182,1.22071063591732,0,0,5.74992422683805,0.945051006743588,0,4.19183493004337,0,0,0,0,3.58304527467968,3.54413784285352
ST00075,stool,1.72936226545839,4.34959532113293,5.11166618558209,0,0,0,5.92073424823075,1.51287944653527,0,3.73156751551562,0,0,0,2.32530526049065,3.97457102937547,1.51287944653527
ST00076,stool,1.08972740598161,4.06477469188202,5.33439004973885,3.8233112530905,0,0.678061935571931,5.86840578912263,1.08972740598161,0,3.86047992368954,0,0,3.44220800423581,1.29721203099505,4.23332302018384,0
ST00077,stool,0,4.05773723773399,5.3361005022171,3.04281597084165,0,0,5.85040031588573,3.96649308020679,0,4.50979711595039,0,1.45063333270875,1.62156510009319,2.66635351404578,3.70573160945752,4.17179124480967
ST00078,stool,1.47377193893314,3.90614466749351,5.63900222459255,3.48026576978751,0,0,5.73033365500553,2.36390558126267,0,3.9092353621562,0,0,0,2.53937012429915,3.73317086429984,3.26534850585086
ST00081,stool,0,2.99898067362723,5.76414822151651,2.49285903921225,0,0,5.57224287439613,0,0,4.60731954472809,0,0,0,2.30174844791199,3.47901569354798,2.76105950618384
ST00082,stool,0,3.2696266505565,5.6569354426207,0.526695040226282,0,0,5.71992087898873,0,0,3.95598437296205,0,0,0,1.29889734215964,4.00561478211947,2.57048725768126
ST00083,stool,0,3.77052594691743,5.56624371978465,2.80798130394283,0,0,5.77950071367381,3.09370798873324,0,4.25290708040677,0,0,0,1.82120924850465,3.52088373690895,2.86954875480435
ST00084,stool,0,4.15246933745136,5.29423901555607,4.03813288248838,0,0,5.87603182201161,0,0,3.95157247746017,0,2.12230446139362,0,2.4216928454984,4.20540190443441,2.96458449939229
ST00085,stool,1.05345121915416,3.22302114168209,5.63879626009289,1.92157009988408,0,0,5.73293450593232,0,0,4.21137986828132,0,0,0,1.92157009988408,3.75289524293133,2.39520908071877
ST00086,stool,0,3.50446549474914,5.67989497216967,0,0,0,5.69108134932746,3.6805114410759,1.86681887146892,4.24829121137627,0,0,2.76471406481521,0,3.61685667100011,0
ST00088,stool,1.42337042918797,3.7796537608659,5.47154071090933,2.61185243062049,0,0,5.79191900311851,0,0,4.24805362249661,0,0,0,2.3118826687824,4.77885213222155,1.7161302938292
ST00091,stool,0,3.8134689472101,5.65538797783602,0,0,0,5.72813257433039,0,0,3.30173570079299,0,0,0,0,3.62897984635926,2.40016063126308
ST00092,stool,0,4.21335588924547,5.41870907420111,2.53533242809327,0,0,5.84759978506378,1.50099107155225,0,4.10410247880248,0,1.36030965585493,1.26811003796091,2.30687549775879,3.60727891439843,0
ST00093,stool,0,3.75551476943567,5.73667486587281,2.1961893449465,0,0,5.63647023139719,0.908252846866804,0,3.11496295228162,0,0,0,1.95277252720573,4.15723421346382,1.7875540036486
ST00094,stool,0,3.95054044128387,5.57429482622034,2.33388063640717,0,0,5.77226517075172,0,0,4.13200055194098,0,1.98420745198299,2.77628772274104,1.6876580404991,3.97426334728728,0
ST00095,stool,0,3.47395182611571,5.28431260053555,1.83188932969046,0,1.53720849783682,5.86743105628917,0,0,3.68587349936825,0,2.56698730859842,4.46444903019191,0,4.34067709042222,4.05208439360477
ST00100,stool,0,3.40683984691982,5.46184550832764,1.7161302938292,0,0,5.81722257876079,0,0,4.32924243565901,0,2.01296540724386,3.68551282213796,1.93462638540306,4.36795108591298,3.19933583639695
ST00101,stool,0,3.536226941394,5.79574045576879,0,0,0,5.54212501045926,0,0,3.27464712319734,0,0,0,1.19898576581908,3.9623506073253,4.08867833992351
ST00103,stool,0,4.173029340872,5.39298542689194,0,0,0,5.82690215261196,0,0,3.93001315999611,0,0,0,0,3.8285689462946,4.71112734011237
ST00105,stool,0,3.21293232619816,5.72868083740427,0,0,0,5.63060455218706,0,0,4.49476596323725,0,0,0,1.15432189505232,3.6142284318381,2.62893292102133
ST00109,stool,0,3.30943404768943,5.53073683774126,3.65943158754794,0,0,5.77997387522337,0,0,4.37427294994103,0,3.16041351667447,4.0843036945041,0,3.91133427042504,3.78143646576579
ST00111,stool,0,4.57327242200507,5.53777335385218,1.18017954916508,0,0,5.72025604793439,0,2.54967354706324,4.04096741970412,0,0,4.65864194638228,2.19468243203175,4.47129077983787,3.76442341434253
ST00112,stool,0,3.28224539193232,5.65001953728664,2.43034135788089,0,0,5.71498871510339,0,0,4.4635031125924,0,0,2.83305673814758,0,3.40814056514531,1.27625513146379
ST00116,stool,1.15858386132427,3.91768034367896,5.06088436000221,2.03446294759851,0,0,5.92227020152633,2.03446294759851,0,3.91058473551931,0,2.61974803450251,3.86059981898108,2.45110173503844,4.27504206180049,3.7327280997523
ST00123,stool,0,3.7416705133846,5.64356016455951,0,0,0,5.73339630649936,0,0,3.97374974398761,0,0,0,2.08244094499007,3.556075921169,0
ST00124,stool,1.12670714426377,4.21392130241958,5.38376269120404,1.87694730925593,0,0,5.85527339331484,0,0,3.14252287785405,0,0,1.12670714426377,2.45624139284623,4.36739937964416,0
ST00127,stool,0,3.60169886315672,5.83098654754156,0,0,0,5.46259867417484,0,0,4.28497764956906,0,2.15236122948123,0,0,3.94173387196367,1.97779623467122
ST00131,stool,0,3.26040255429005,5.84854956303442,0,0,0,5.34344054934799,0,0,4.79811719088371,0,0,1.57721047678083,1.67181503799274,3.95565844541999,2.17056118390598
ST00132,stool,0.958533848257096,3.96027146584095,5.5995100712735,2.99114361234537,0,0,5.76285280756765,0,0,3.77839102766604,0,2.08757050181478,2.18948485655716,0,3.80560981816386,2.52200610076618
ST00136,stool,0,3.49839413698484,5.43860829074757,0,0,0,5.7998294837095,0,0,4.27340420763444,0,0,4.69208512116233,2.42072654215297,4.35106049139302,2.96361557210901
ST00138,stool,0,0,5.31586720494668,0,0,0,5.87912774294109,0,0,2.90237645712122,0,0,3.49024454106937,0,4.5066117666927,0
ST00139,stool,1.53159411388922,3.57086585233888,5.48083760515261,1.8261917186723,0,0,5.82575476039039,0,0,3.14219506269737,0,0,0.966247590439343,2.31661265380734,4.33522539408485,2.93411171286464
ST00141,stool,0,3.59407894991185,5.78361531194749,1.41376935874058,0,0,5.57474455812775,0,0,3.82811607544766,0,0,0,0,3.74214016817234,2.76849637976324
ST00142,stool,0,4.5839452530043,5.87639967001515,1.89785166898699,0,0,5.25427884246841,0,0,4.04708923485279,0,0,1.22032184537815,1.22032184537815,4.26636031904156,1.22032184537815
ST00143,stool,0,3.41041234250051,5.52075858390783,2.89972316349546,0,0,5.80491964957986,0,0,4.11637178710351,0,0,3.62094958494792,1.30828952401838,3.85465428901352,3.37293575159704
ST00146,stool,0,4.04533728877038,5.59968264250076,0,0,0,5.74122514566287,0,0,4.12680363922474,0,2.24841569922642,3.86926559144406,2.94542034902494,4.25458195151467,2.24841569922642
ST00150,stool,1.50210162047097,3.74517077682841,5.57019885239529,3.68696103507163,0,0,5.73230280821306,0,0,4.38768813416466,0,3.28777912669349,3.35370845620405,2.93068123320206,4.03232300545506,4.57659853296045
ST00151,stool,0,2.82264457699801,5.65914390306691,0,0,0,5.72650633433853,0,0,3.87429434422205,0,0,0,0,3.46579550025918,1.16687786857314
ST00152,stool,0,3.23350903861947,5.64833400004355,0,0,0,5.73498760681559,1.7931467469879,0,3.8804508524932,0,0,0,0,3.382874242284,1.21157360287775
ST00159,stool,0,4.03329816919075,5.53865260582334,0,0,0,5.4827690921727,5.42566919611385,0,4.60999812353454,0,0,1.62094379296936,1.85950366836153,3.4572198824548,4.46867307099234
ST00161,stool,0,3.58258795590909,5.66807497694849,3.15438615500583,0,0.908158326399939,5.70789916409535,2.30022462492436,0,4.12967144467306,0,1.9695129151004,3.14123407399813,2.05881514616301,3.36562055521988,3.0444024853591
ST00162,stool,0,3.85166386834572,5.52978659370327,1.82586351630081,0,0,5.76084873149785,1.97881555695639,0,4.47966712671818,0,3.7852069095075,3.1448043911897,2.57744198014258,4.56463918874254,3.43977205271892
ST00163,stool,1.80758325618943,3.36578825959326,5.50383761249345,1.86472888403461,0,0,5.82140024404118,0,0,3.57799682677268,0,1.44853272041226,1.66415241182777,2.95614873142631,3.78696865677204,3.68167005987453
ST00166,stool,1.23930335691419,3.75890465733355,5.56667922554519,3.62776158085432,0,0,5.76578919845376,0,0,4.10787181355107,0,0,3.73539340026967,0.96260973938876,4.29722552556603,1.69940811455845
ST00167,stool,1.0948847505795,3.31095436467198,5.16955133478516,0,0,0,5.85388648565442,0.981428199616946,0,5.12657375588498,0,0,0.827428854155802,1.58190408741069,3.27948592587513,1.95266795044257
ST00172,stool,1.05572561567685,3.69842381504241,5.75980729688904,0,0,0,5.60758502990717,1.62814719786847,0,4.0905922414204,0,0,1.21889328351147,2.08006525068699,3.33815924122583,1.33722308768174
ST00178,stool,0,3.54584271389653,5.46418901474878,2.28670635304581,0,0,5.83703384963436,0,0,4.21133965507057,0,0,0,0,3.23287872748784,0
ST00183,stool,0,3.85237324322171,5.69733070706203,3.09339672023761,0,0,5.67655953636106,1.43711903874369,0,3.37052354737223,0,0,1.82542912951019,2.07780682996045,4.079473013082,3.61417866039055
ST00184,stool,0,3.74479641838891,5.82836290180372,1.9352089088605,0,0,5.48391602619606,0,0,4.14068831198974,0,0,0,0,3.35152355894785,1.34801654384257
ST00193,stool,1.46290065336261,3.28988628098516,5.54201122404209,1.46290065336261,0,0,5.80643719898747,0,0,3.83955839470651,0,0,0,2.10432022089505,3.34824058009715,0.903545543212289
ST00194,stool,0,3.43393919063249,5.7472934780072,0,0,0,5.59566978643093,1.55670064611137,0,4.51483770865953,0,0,0,2.20043619963317,4.05102120966371,2.09207315879414
ST00205,stool,0,2.91469105703901,5.61068532465918,1.56078135686424,0,0,5.75974473714733,0.65679928624908,0,3.28926005101864,0,0,1.56078135686424,1.06490538666815,4.14552219287622,1.67196055539152
ST00207,stool,1.26432694539655,3.32896037579122,5.72368481339641,1.57621983152454,0,0,5.4943647332523,1.5037414138604,0,5.18457596837556,0,0,0.467019349209186,2.24729348928642,3.44731071357814,2.62328255489933
ST00222,stool,0,3.83194524786417,5.75618674631934,1.83080644604829,0,0,5.54676606402981,4.61779847952464,0,4.28281850500469,0,0,0,0.970427989305884,3.42110869551891,3.86083597926632
ST00223,stool,0,3.32888234926257,5.69204760657475,1.35838977423375,0,0,5.69354733804071,0,0,3.7719749938579,0,0,0,1.19170983181835,3.78043756179574,0
ST00226,stool,1.36106804399838,3.27036182494272,5.51466973160418,2.04463939175666,0,0.731831778042043,5.81858833961672,0,0,3.64112145439261,0,0,3.28840874745315,1.43708595111413,3.58785097761797,3.33227385025131
ST00227,stool,0,3.78309193481492,5.80771626862112,0,0,0,5.53170440357407,0,0,3.01443279652801,0,0,0,0,4.01944905566335,0
ST00228,stool,0,3.64614656316876,5.38641293255129,3.2113918932341,0,0,5.84036516553104,0,0,4.24367888999353,0,1.96063360351677,2.2592795666174,0,4.2547296138536,4.348568796074
ST00231,stool,0,3.84886913686363,5.48733332719554,3.27785331277332,0,0,5.80565047946201,0,2.17502616496764,4.22103489116214,0,1.41114975237537,4.30193295860226,1.12665238949532,3.81809331961492,3.09760116665392
ST00232,stool,1.88932013660709,4.07498131662445,5.59071174570376,2.40825856742818,0,0,5.727204380771,0,0,4.78822241046153,0,0,1.88932013660709,3.08815474852017,3.25805700312584,0
ST00234,stool,0,4.3832370876326,5.2022421998297,1.43656793203146,0,1.60732881827654,5.87804700526667,1.43656793203146,0,3.98685869426001,0,4.13305810768913,3.04401833731316,1.82486565821152,4.46453895925649,3.88432611248131
ST00243,stool,0,2.79851798795203,5.74701160344455,0,0,0,5.60137575250361,0,0,4.36291505796401,0,0,0,1.2820494032075,4.26558244675445,0.916869344643071
ST00248,stool,0,4.13490652918532,5.59237780758372,2.4897859355137,0,0,5.75395981520222,0,0,3.82040053691413,0,0,1.48175274120396,1.65304325705541,4.11215256771429,3.889259356258
ST00253,stool,0.924568572014555,4.07072088552901,5.40876337732165,0,0,0,5.84641484872379,0,0,4.2082426369741,0,0,0,1.7799194026095,3.60844764366338,3.97884665173269
ST00259,stool,0,3.74761825076534,5.67084155830238,3.133900560428,0,0,5.6551562391779,0,0,4.58418389571318,0,0,0,0,4.51581184198269,3.08278791969537
ST00266,stool,0,3.37158582688604,5.77061938342933,0,0,0,5.50047514591242,0,0,4.91854168463255,0,0,1.00498825592115,1.81163295473728,3.62264288775988,3.6264021439777
ST00379,stool,1.6081156865305,5.02224186096492,5.15267430407096,2.94019585056423,0,0,5.85791878066741,2.14446771908352,0,3.10949547545693,0,0,2.55273501152447,2.50173450297792,4.25243719255322,4.03188373276802
ST00382,stool,0,3.13271543349037,5.62958827599751,2.44969339513189,0,0,5.71989428337509,0,0,3.53493174711364,0,0,0,2.15020269157609,3.29087619811511,4.62316313375428
ST00383,stool,1.93522366845331,3.85963159774935,5.55840914864186,2.95341362313416,0,0,5.74936317542681,1.82279014168137,1.31488962032748,4.65519387750121,0,1.14918939653433,1.14918939653433,2.86601898294028,3.82699786803735,4.1973519666853
ST00384,stool,0,0,5.55332815766967,0,0,0,5.79247064815496,0,0,4.3492263945913,0,0,0,0,0,0
ST00386,stool,1.61640280187825,4.50614969422563,4.58859398642269,0.95754098894708,0,0,5.96142403883743,3.57901138497044,0,3.47865213172994,0,0,0,2.47645304751948,3.76057261113031,3.09184210733281
ST00387,stool,0,3.45329374499518,5.80183754899368,0,0,0,5.54347439617154,0.89617900626911,0,4.11689086377402,0,0,0,1.33487794143491,2.95161983332944,0
ST00411,stool,0,3.83784545059426,5.360341179896,3.16004679162049,0,0,5.87085904520645,0,0,3.38432148880139,0,0,0,0,4.23359775367691,1.93437827978953
ST00412,stool,0.684711883072161,3.51305778003048,5.6691240146717,1.75115784120979,0,0,5.71028409544384,0.632472853767039,0,3.25358926608966,0,0,0,1.56399495724033,3.62175016595323,4.02860536786297
ST00420,stool,1.92288354618787,4.57121126007134,5.37648977151648,2.61768414838028,0,2.41226510411177,5.83028375324764,2.14265259820593,1.2874557151772,4.23155821166332,0,0,2.00908963922407,3.2401347084874,4.45451966305064,0
ST00425,stool,0,3.13536801191856,5.82346054369707,2.89495814899633,0,0,5.50224239258449,0,0,4.07192247312774,0,0,1.78760212909386,1.20628602812099,3.26677244615069,2.45866804245354
ST00465,stool,0,3.82508721451467,5.70528955003738,1.00033825919807,0,1.00033825919807,5.67556371286797,0,0,3.40194852395784,0,0,0,1.27910965597061,3.98485809476483,1.00033825919807
ST00480,stool,0,3.13763079134937,5.71179068742508,0,0,0,5.67410566097496,0,0,3.98579799522749,0,0,0,1.36635965021405,3.22833424531561,1.91682705704954
