Sample,ruralurban,Acidimicrobiia,Acidithiobacillia,Acidobacteriia,Actinobacteria,Alphaproteobacteria,Anaerolineae,Aquificae,Archaeoglobi,Ardenticatenia,Bacilli,Bacteroidia,Betaproteobacteria,Blastocatellia,Caldilineae,Calditrichae,Candidatus.Brocadiae,Chitinophagia,Chlamydiia,Chlorobia,Chloroflexia,Chrysiogenetes,Chthonomonadetes,Clostridia,Coprothermobacteria,Coriobacteriia,Cytophagia,Deferribacteres,Dehalococcoidia,Deinococci,Deltaproteobacteria,Dictyoglomia,Elusimicrobia,Endomicrobia,Epsilonproteobacteria,Erysipelotrichia,Fibrobacteria,Fimbriimonadia,Flavobacteriia,Fusobacteriia,Gammaproteobacteria,Gemmatimonadetes,Gloeobacteria,Halobacteria,Hydrogenophilalia,Ignavibacteria,Kiritimatiellae,Ktedonobacteria,Lentisphaeria,Limnochordia,Methanobacteria,Methanococci,Methanomicrobia,Methanopyri,Methylacidiphilae,Mollicutes,Negativicutes,Nitriliruptoria,Nitrososphaeria,Nitrospira,Oligoflexia,Opitutae,Phycisphaerae,Planctomycetia,Rubrobacteria,Saprospiria,Spartobacteria,Sphingobacteriia,Spirochaetia,Synergistia,Tepidiformia,Thermococci,Thermodesulfobacteria,Thermoleophilia,Thermomicrobia,Thermoplasmata,Thermoprotei,Thermotogae,Tissierellia,Verrucomicrobiae,Vicinamibacteria,Zetaproteobacteria
081A,urban,1.20489171170891,1.27818666111695,1.9736703697268,3.80015138256678,3.54271034999842,1.53152579136761,1.60731059487824,0.979802917597954,0.922564090497416,4.11127808962367,5.73745356539275,3.52328245860655,0.684017539398325,0.734010052444762,0.734010052444762,0.627512494741728,2.55227081692702,1.43498592244504,2.10722759198511,1.2503348568521,1.00582136813579,1.01826848402272,5.58383155922145,0.627512494741728,3.4309263477049,3.06289537929994,1.86448454725703,1.47961686310054,2.30018527664859,2.99288174606771,0.979802917597954,0.596240304301299,0.966184806631884,2.81026272997729,3.8507552264062,1.43025981586764,0.838440566196938,3.36836504966264,2.59819355704665,4.31513900560149,1.22820739096411,1.50434770007851,2.14088134059548,0.734010052444762,1.32300326240475,0.966184806631884,0.922564090497416,1.44886327755433,1.2503348568521,1.69048073070609,1.70079739362935,2.08884821800649,0.922564090497416,0.906992719365384,2.65922556880423,3.3174343577225,1.30435943466875,0.778837299453413,1.5676194512565,1.69566969548103,1.81254311591226,1.77768141400429,2.2448771585354,1.63486618991279,1.35240097222192,0,2.78075761408654,3.30410773691993,1.7964855603134,1.00582136813579,1.70079739362935,1.52774579520401,1.10676951293815,1.21280350458869,1.50434770007851,1.74209887829106,2.0563740935779,2.38283675925384,2.33111366477921,1.03036877588988,1.15413180134567
082A,urban,0.607814568106983,0.826048531504609,1.52856539167957,3.2847107743063,3.09571492996963,1.11427263309049,1.33363369646835,0.668760886033848,0.482240186620632,3.87339830641614,5.85716183310801,3.2058131787887,0.384693597024044,0.51042790868166,0.687313288053722,0.482240186620632,2.2836177411838,1.32535428082324,1.71337024786679,1.13419404414193,0.384693597024044,0.419700650868327,5.37693487134133,0.668760886033848,3.63224560615112,2.6715287920348,1.46979218246349,1.28600995171956,1.75102870838047,2.52981646227419,0.561845299275323,0.452095179409789,1.32535428082324,2.65930462760496,3.94951420725297,1.00689639833448,0.51042790868166,3.18680040491642,2.3138289604972,3.77694334294026,0.851668509831081,0.754486702751321,1.67959231109317,0.304874839942047,1.26731016558527,0.258691821532292,0.536897091838907,0.951275392486154,0.585437870245742,1.46070699268911,1.43873855253762,1.80549473349844,0.148329255787846,0.769773542491873,2.23908100089764,3.69066536944569,0.722197437889777,0.754486702751321,1.34175822109305,1.59404660584559,1.1276545848912,1.26731016558527,1.82839928725774,1.05619586492931,0.99810695916665,0.0804666465988712,2.56658344166623,2.84434869445996,1.60515945403251,0.452095179409789,1.40875523934008,1.17740459984786,0.51042790868166,0.705105521954257,1.07145923208792,1.22730663523243,1.73990915092717,2.20516400613203,2.45818606512496,0.875860933475472,0.482240186620632
083A,urban,0.422027695997754,0.468528645828733,1.0863381337144,3.8787271235089,2.7580906041074,0.92769161917146,0.942747498508428,0.468528645828733,0.113492258210517,3.70805377861351,5.89304862445906,2.95327465248496,0.445900244843562,0.242199929234176,0.341355702346042,0.548822699880456,1.83280909725037,1.24119204619323,1.32854733782873,0.834018847398239,0.203386716631624,0.203386716631624,5.2329085312429,0.341355702346042,3.27321600302085,2.29097216319938,0.957298870161535,0.86163348608175,1.39865788236132,2.26322424641328,0.548822699880456,0.369944056129301,0.203386716631624,2.585027862266,3.35493821690546,0.843420180544501,0.113492258210517,2.70862842106596,3.00348172716218,4.20690372862742,0.445900244843562,0.341355702346042,1.3579630409601,0.113492258210517,0.566773686683955,0.160761249746969,0.646842676791567,0.616562610237177,0.242199929234176,1.11213615782833,1.0532106054364,1.42136179228527,0,0.445900244843562,1.87802332449333,3.99224479865763,0.688638282874306,0.369944056129301,0.964395715024655,1.18989845033675,0.912094988422646,0.879113612447958,1.40635848683411,0.814582689386828,0.738761237156463,0.160761249746969,2.02825495836853,2.07488073270804,1.0173459201442,0.203386716631624,0.998238077155947,0.870461489075146,0.203386716631624,0.341355702346042,0.631966490055632,1.02353283849435,1.43586404899238,1.84779604858559,1.68292777439075,0.422027695997754,0.369944056129301
084A,urban,0.912236964371079,0.81178644778945,1.55384601609923,3.46048420543753,3.22276824826574,1.08554750614286,1.34830390403617,0.767191783776683,0.734696053014127,3.7963417162141,5.56970133196383,3.10139281447245,0.462100691071238,0.877233585177984,0.825688708106661,0.661352622151061,2.46948417717016,1.46626453459247,1.77850844410403,1.22574323309162,0.717488429818374,0.152832768269166,5.5925759323381,0.900879776988322,3.50132648139231,2.86070930852453,1.48465117980034,1.10754484736552,1.9808660104004,2.62044635265979,1.02077867894093,0.596868408823993,0.596868408823993,2.5918721242588,3.52405201563257,1.10754484736552,0.573054782443699,3.26931608722653,2.3504849862599,5.29585833726125,1.05436939358944,0.912236964371079,1.8329124357172,0.265657843443666,1.33155662111034,0.573054782443699,1.00295596923796,1.09300443894544,0.964953826511839,1.49061105284226,1.50801511568399,1.88960021721407,0.0831049083889811,0.462100691071238,2.24820299472361,4.16794837213037,1.01195874440061,0.212898892790559,1.27218543466035,1.52474851247654,1.41304969582175,1.27218543466035,1.79935321175978,1.30059883433378,1.07796029599885,0.0831049083889811,2.75441319028801,2.48113356866731,1.61351639434567,0.839159710629527,1.39498787806315,1.11463647705801,0.954909982620396,0.984370428813766,1.34417723791906,1.47555515393022,1.77390850282046,2.48952169927091,1.96028606780579,0.734696053014127,0.839159710629527
085A,urban,0.586953823094862,1.42763751524076,1.98960548910147,3.82537515993265,3.43382893806019,1.28450463693406,1.75460478553886,1.67035852975962,0.544731587101765,3.76956133474895,5.74392012364704,3.32283720772449,0.497958044508757,1.39758885224755,0.660777636244312,1.42179180861756,2.91508173957014,1.74352482111318,2.2712697416505,0.911591550850597,0.586953823094862,1.42179180861756,5.48683598336719,1.38496202564714,3.21546920850091,3.35474836039221,2.04624329743969,2.03634986426439,1.94257144748385,2.91903281640427,0.948117574579365,0.44553210507164,0.132870146358721,2.77067356707036,3.43337074861593,1.23314419679295,0.385897401978892,3.68499762675873,2.48563211964605,4.66126143769043,1.43909804180576,0.892107970083705,2.15014120953342,0.385897401978892,1.5165850298109,1.39132132691661,0.385897401978892,0.660777636244312,0.44553210507164,1.61368990593771,1.43340558117325,2.12523958094715,0.132870146358721,1.31565354128929,2.20774879022826,4.68529562118503,1.30807324730508,1.69614139653352,1.55287515820511,1.79129935087055,1.80368779209613,1.60605671632398,2.15342889394278,0.96528966030925,1.62856522039295,0.132870146358721,3.23181477583003,2.67262836471287,1.33042839001048,1.35855060831184,1.69925923569338,0.892107970083705,0.544731587101765,0.586953823094862,2.01735611469175,2.06937166998153,1.85217395879748,1.97994673422598,3.9210108757034,0.31675055993255,1.05611607433604
086A,urban,0.527717994670546,0.36800958336849,0.924712661716976,3.06511117949116,2.58851570697002,0.975227734519879,1.0832366447555,0.598062926394202,0.112717399718079,3.59901397248502,5.86506065669363,2.56725793363655,0.339519377918149,0.202126048587241,0.339519377918149,0.759015331721395,1.86249720298385,1.1333554728348,0.975227734519879,0.339519377918149,0.339519377918149,0,5.36785897927691,0.0600053359084797,2.80601102529924,2.18264073069429,1.02657012837217,0.901124883432328,1.2342712750623,1.94727255887881,0.858720295659326,0.0600053359084797,0.240758518109779,2.65000479750647,3.53771326180675,0.759015331721395,0.276233422297433,2.7299117436327,2.32994443664501,4.27611305201012,0.240758518109779,0.202126048587241,1.19503033493572,0,0.56431317301184,0.159718503676623,0.0600053359084797,0.598062926394202,0.54640092464105,1.29704451647762,1.16966264289852,1.46686815534616,0.0600053359084797,0.112717399718079,2.08812735718788,3.40216584085799,0.159718503676623,0.36800958336849,0.811722824796914,1.0885169431371,0.811722824796914,0.975227734519879,1.24902590925225,0.62937799653117,0.614002649382811,0,2.05822975836281,2.15741301097003,1.06144903732645,0,1.0385103940364,0.867538920437558,0.309028145557818,0.36800958336849,1.10398323318868,1.26679107112115,1.73630525016352,2.07533345383171,1.75253165312435,0.202126048587241,0.62937799653117
091A,urban,1.01282248166226,0.94053961558203,1.55952941819546,3.4792568606379,3.16891956442485,1.41356871424232,1.45020430049698,0.874609868458285,0.716934609588559,3.59161247804355,5.88491606926867,3.15319549326504,0.560143031555433,0.538637995259943,0.702059618311104,0.440066585321811,1.85771454299574,1.35037871968867,1.56162544681315,1.08741816385769,0.618923318796801,0.380884022924035,5.31902426261562,0.560143031555433,3.15782974514585,2.41932525943111,1.18718608024004,1.21126645099438,1.93500604655842,2.59824137074111,0.94053961558203,0.347965027450777,0.492142890604751,2.59263175025744,3.66761193168624,1.14564438028958,0.411482647361979,2.79205146226837,2.44605173196082,3.50346677445073,1.04832431276848,0.96599427036218,1.77143275642774,0.347965027450777,0.784509449254131,0.411482647361979,0.560143031555433,0.931712033570009,0.808846625978026,1.47130361666677,1.37995652977815,1.70009968217591,0.230923933930431,0.618923318796801,2.2619330558094,2.69685090194055,1.07477389595498,0.516012360557541,1.18220553517196,1.4474933253018,1.37031936109447,1.30375090844766,1.81086287403361,1.33655742736749,0.600200134908475,0,2.14928425367701,2.71160632399572,1.56785351151974,0.853775972325981,1.31496403648428,0.990039232487395,0.758727068023505,0.9040987683777,1.11165316479261,1.34005420545812,1.74757164078907,2.21810292394938,2.91357264391057,0.560143031555433,0.894489908388825
093A,urban,0.541340910914158,0.730225032124857,1.66862838321196,2.75091442309339,2.76484360200693,0.705997165132684,0.861421606771579,0.461650155658949,0.503320829029033,3.15705425672812,5.92863968794293,2.80483095459642,0.272913308455573,0.522746793186011,0.608651270070729,0.559171508025329,2.19944217061272,0.926047617397148,1.40386826241534,0.653065897862136,0.272913308455573,0.0590974638105715,4.57657190849336,0.199502911432041,2.4193893606573,2.60123813975583,0.774967925127261,0.559171508025329,1.27714408722763,2.08787524703977,0.503320829029033,0.461650155658949,0.482985089793341,2.43221352681838,2.4810755344326,0.43921273903767,0.559171508025329,2.91485960879712,4.17978555311217,3.96993551945082,1.18011710741492,0.390528948713323,1.06052572096734,0.363974756301597,0.886796432078803,0.503320829029033,0.461650155658949,0.666915694594465,0.415552659906436,1.17167247084846,0.940805870495383,1.38602083894909,0.0590974638105715,0.111107891311195,1.81674578213402,4.91876289168142,0.390528948713323,0.482985089793341,1.2350351663106,1.09237192893497,1.06599824581324,0.705997165132684,1.45782603287428,0.975646035212937,1.1267952957876,0.59277623595833,2.41527247337029,1.96291239895661,0.910770151699097,0.237757370588295,0.918476059280489,0.541340910914158,0.390528948713323,0.272913308455573,0.57629882319899,1.06599824581324,1.36740842201152,1.40883565253925,1.48352381056236,0.541340910914158,0.503320829029033
094A,urban,0.510503218798863,0.946398654038783,1.67571916748398,3.68043099553313,2.83420770868284,1.03816772481027,0.930386240639529,0.414936149222145,0.214820258966929,3.5419828095859,5.91529626017589,2.89877446479485,0.170242111046146,0.588786856604231,0.684797402332982,0.414936149222145,2.33607922781825,0.954188776890679,1.29835897140117,0.510503218798863,0.465343104723653,0.170242111046146,4.6661567915582,0.440870535475981,2.32075056529324,2.75284815519896,0.878469342376219,0.712600967735639,1.47415784313756,2.19049573257357,0.531436247620624,0.510503218798863,0.725862546056413,2.80603818102556,3.08983058737829,0.387354152191553,0.623203234334665,3.08659835014349,2.62816509288029,4.17780720386699,1.23039202788443,0.255245639659982,0.905203118227017,0.0644496518533893,0.905203118227017,0.440870535475981,0.510503218798863,0.684797402332982,0.725862546056413,1.18292848418502,1.12444831379884,1.63260067222959,0,0.3579009114274,1.86705415118339,5.00103415598051,0.488509894326738,0.255245639659982,1.16429654685069,1.15467199129365,1.01864583963604,1.17834490080271,1.50345975942734,0.922153059108945,1.15467199129365,0.63943990501116,2.5626131648729,2.01243991533946,1.22213922102996,0.214820258966929,0.905203118227017,0.655091359753469,0.0644496518533893,0.170242111046146,0.938466240258526,1.17371242539579,1.39509357564057,1.6971701071049,1.92276949217634,0.551406529458414,0.655091359753469
098A,urban,1.18015717893967,1.24064073841518,1.9265093339684,3.82601447155862,3.51143724924638,1.5899286648113,1.56053701068735,1.13757507027653,0.977021528850004,3.75837815086697,5.79629481277063,3.44479638668728,0.784673831159476,1.1881945711415,0.921861587695788,0.921861587695788,2.80821471887427,1.62041032389001,2.00846131182489,1.51797226590462,0.98978238040071,0.695438382429646,5.45172373700229,0.719524140310142,3.15972434162957,3.16454421449297,1.43167904459339,1.44949221220429,2.30064709192679,2.99589550501711,0.891410542396659,0.80438580603597,0.613951712098368,3.07481761257534,3.48892092464129,1.34658056702067,0.613951712098368,3.60995188592394,2.50938273781599,4.32073018011515,1.42710920341875,1.09035940210869,2.1421836265351,0.3286419982761,1.70323822441127,1.10022213188962,0.98978238040071,3.19958738193485,1.03737724564398,1.56390271750954,1.57384611015251,2.08350002645003,0.823241795296038,0.582996691003049,2.50824089441199,4.39064531018609,1.21893444373256,1.10022213188962,1.47077794908017,1.81425128997429,1.64334327603637,1.64889217160985,2.15612306341648,1.63772256474549,1.47077794908017,0.19469292173621,3.0844291496019,3.00327215932426,1.76650825334446,1.18015717893967,1.50664572797964,1.25453139111948,1.06993544998882,1.16362190259532,1.35207554908208,1.64612658590689,2.04759933417497,2.32861680997047,3.90353770655037,0.921861587695788,0.906902899048034
099A,urban,0.151814269852928,0.73746895744381,0.938099116383361,3.60907480609864,2.58055360263103,0.901686014781786,1.12302000906643,0.62408838739883,0.353214397579271,3.414156751326,5.88615456051927,2.59402764307923,0.325488722616041,0.264085882062377,0.192549158710926,0.427129424456533,1.76794744421721,1.08488669341565,1.13649882808819,0.594299210834465,0.106859401870358,0.0567080761966093,5.12516503976925,0.295871581797926,2.75113762451512,2.13137065359324,1.08488669341565,0.678159232243515,1.40737581544944,2.03223565701218,0.609449161886036,0.325488722616041,0.151814269852928,2.38160651388695,3.22999813400546,0.971693960273439,0.106859401870358,2.64928875937626,4.83483278857188,4.20980462874358,0.578601606194522,0.264085882062377,1.24202095540655,0,0.62408838739883,0.229788793913414,0.0567080761966093,0.470229663567706,0.264085882062377,1.14957187865345,1.21702779524302,1.36507392058927,0.0567080761966093,0.325488722616041,1.95284843266568,2.95684606149052,0.594299210834465,0.295871581797926,0.789643661218808,1.04307994096652,0.931056649800714,0.916619571072246,1.17862715226901,0.545394296764293,0.509436075389693,0.0567080761966093,2.00854107432808,2.61642613024184,1.36245245846391,0.353214397579271,1.05923272279517,0.73746895744381,0.295871581797926,0.192549158710926,0.789643661218808,1.13205220804506,1.40020392102251,1.89284243023044,1.46502107215171,0.0567080761966093,0.403861368566548
100A,urban,1.71809570940097,1.55913010807735,2.21107628748647,4.16224386835689,3.77029140157014,1.77356226162871,1.71809570940097,1.38263276051976,1.3696308473831,3.93266926356397,5.73357519881758,3.76376324096205,1.06734315590055,1.29019835338111,0.750264440099464,0.623579620739314,2.89726525338288,1.63702282814641,2.29313030169223,1.69997353065338,1.01087962142696,1.12894413850917,5.47450144947832,0.750264440099464,3.72556974732124,3.34140152237668,1.95755692225922,1.67782855349218,2.56829483793125,3.25392742490362,0.65887973132145,0.542996436316562,0.825722706363466,2.89451506503269,3.678569229084,1.6188198621836,0.691525031385404,3.64615471245435,4.09136758676151,4.25719451206319,1.82736526433524,1.40752405203631,2.48422534743556,0.132231069878873,1.48487732921528,1.29019835338111,1.11730318310793,1.50947318819166,1.34936765353581,1.57586643436429,1.45339662162245,2.21580402104418,0.542996436316562,1.33531379395645,2.41036494443935,4.83723076353547,1.71809570940097,1.01087962142696,1.6188198621836,1.80856268714205,1.99352227118741,1.96766470554059,2.42280281012618,2.01494985537231,1.64057362520082,0.384468572868778,3.16978757148414,2.69116016775169,2.18763795541173,1.41353018177817,1.87523155380711,1.23984706091418,1.44792061719121,1.3696308473831,1.796383793982,1.70609866453556,1.99352227118741,2.30247351469652,2.69833973432407,1.14028119445133,1.29805061727022
