Sample_ID	Methanobrevibacter	Methanosphaera	vadinCA11	Unclassified_Actinomycetaceae	Actinomyces	Mobiluncus	Cellulomonas	Corynebacterium	Unclassified_Dermabacteraceae	Clavibacter	Unclassified_Micrococcaceae	Kocuria	Rothia	Cellulosimicrobium	Unclassified_Bifidobacteriaceae	Alloscardovia	Bifidobacterium	Gardnerella	Scardovia	Unclassified_Coriobacteriaceae	Adlercreutzia	Atopobium	Collinsella	Eggerthella	Slackia	Unclassified_Qiime_Garbage_Count_0	5-7N15	Bacteroides	Parabacteroides	Porphyromonas	Prevotella	Unclassified_Rikenellaceae	Alistipes	Unclassified_S24-7	Unclassified_[Barnesiellaceae]	Butyricimonas	Odoribacter	Unclassified_[Paraprevotellaceae]	CF231	Paraprevotella	[Prevotella]	Hymenobacter	Unclassified_Qiime_Garbage_Count_1	Unclassified_Cryomorphaceae	Owenweeksia	Maribacter	Polaribacter	Tenacibaculum	Cloacibacterium	Unclassified_Sphingobacteriaceae	Unclassified_Qiime_Garbage_Count_2	Unclassified_Qiime_Garbage_Count_3	Unclassified_Qiime_Garbage_Count_4	Anoxybacillus	Bacillus	Geobacillus	Paenibacillus	Unclassified_Planococcaceae	Macrococcus	Staphylococcus	Unclassified_Gemellaceae	Unclassified_Qiime_Garbage_Count_5	Aerococcus	Alloiococcus	Granulicatella	Unclassified_Enterococcaceae	Enterococcus	Melissococcus	Vagococcus	Unclassified_Lactobacillaceae	Lactobacillus	Unclassified_Leuconostocaceae	Leuconostoc	Weissella	Unclassified_Streptococcaceae	Lactococcus	Streptococcus	Turicibacter	Unclassified_Qiime_Garbage_Count_6	Unclassified_Qiime_Garbage_Count_7	Unclassified_Christensenellaceae	Christensenella	Unclassified_Clostridiaceae	02d06	Caloramator	Clostridium	SMB53	Sarcina	Unclassified_Dehalobacteriaceae	Dehalobacterium	Unclassified_EtOH8	Anaerofustis	Pseudoramibacter_Eubacterium	Unclassified_Lachnospiraceae	Anaerostipes	Blautia	Clostridium	Coprococcus	Dorea	Epulopiscium	Lachnobacterium	Lachnospira	Moryella	Oribacterium	Roseburia	Ruminococcus	Shuttleworthia	[Ruminococcus]	Unclassified_Peptococcaceae	Peptococcus	rc4-4	Unclassified_Peptostreptococcaceae	Peptostreptococcus	[Clostridium]	Unclassified_Ruminococcaceae	Anaerotruncus	Butyricicoccus	Clostridium	Faecalibacterium	Oscillospira	Ruminococcus	Unclassified_Veillonellaceae	Acidaminococcus	Dialister	Megamonas	Megasphaera	Phascolarctobacterium	Schwartzia	Selenomonas	Veillonella	Unclassified_[Acidaminobacteraceae]	WH1-8	Unclassified_[Mogibacteriaceae]	Mogibacterium	1-68	Anaerococcus	Finegoldia	Parvimonas	Peptoniphilus	WAL_1855D	Unclassified_Qiime_Garbage_Count_8	Unclassified_Erysipelotrichaceae	Bulleidia	Catenibacterium	Coprobacillus	Holdemania	Sharpea	[Eubacterium]	cc_115	p-75-a5	Cetobacterium	Fusobacterium	Leptotrichia	Sneathia	Unclassified_Victivallaceae	Victivallis	Unclassified_Phycisphaeraceae	Planctomyces	Unclassified_Caulobacteraceae	Unclassified_Qiime_Garbage_Count_9	Martelella	Ochrobactrum	Unclassified_Methylobacteriaceae	Methylopila	Agrobacterium	Paracoccus	Carludovica	Lupinus	Oenothera	Spirodela	Zea	Unclassified_Sphingomonadaceae	Novosphingobium	Sphingomonas	Unclassified_Qiime_Garbage_Count_10	Unclassified_Qiime_Garbage_Count_11	Unclassified_Alcaligenaceae	Oligella	Sutterella	Lautropia	Unclassified_Comamonadaceae	Comamonas	Unclassified_Oxalobacteraceae	Janthinobacterium	Oxalobacter	Eikenella	Microvirgula	Neisseria	Unclassified_Rhodocyclaceae	Unclassified_Desulfovibrionaceae	Bilophila	Desulfovibrio	Arcobacter	Campylobacter	Unclassified_Aeromonadaceae	Succinatimonas	Succinivibrio	Unclassified_Alteromonadaceae	BD2-13	Unclassified_Shewanellaceae	Shewanella	Cardiobacterium	Unclassified_Enterobacteriaceae	Aquamonas	Citrobacter	Enterobacter	Erwinia	Escherichia	Klebsiella	Leminorella	Morganella	Pantoea	Plesiomonas	Proteus	Raoultella	Salmonella	Serratia	Shigella	Trabulsiella	Xenorhabdus	Rickettsiella	Francisella	Alcanivorax	Unclassified_Halomonadaceae	Halomonas	Unclassified_Pasteurellaceae	Actinobacillus	Aggregatibacter	Haemophilus	Unclassified_Moraxellaceae	Acinetobacter	Perlucidibaca	Psychrobacter	Pseudomonas	Pseudoalteromonas	Unclassified_Vibrionaceae	Aliivibrio	Enterovibrio	Listonella	Photobacterium	Vibrio	Unclassified_Xanthomonadaceae	Lysobacter	Stenotrophomonas	Pyramidobacter	TG5	Unclassified_Synergistaceae	Cloacibacillus	Synergistes	Unclassified_Qiime_Garbage_Count_12	Unclassified_Rs-045	Unclassified_Mycoplasmataceae	Mycoplasma	Unclassified_Qiime_Garbage_Count_13	Unclassified_Qiime_Garbage_Count_14	Akkermansia	Rubritalea	Thermus
086A	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	22930.0	128.0	0.0	274.0	9.0	0.0	0.0	4.0	1.0	3.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	11.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	38.0	21.0	0.0	2002.0	2.0	0.0	1117.0	107.0	0.0	718.0	107.0	60.0	0.0	0.0	0.0	0.0	0.0	7047.0	0.0	762.0	0.0	200.0	355.0	0.0	1.0	1342.0	0.0	0.0	5316.0	0.0	0.0	217.0	0.0	0.0	0.0	1.0	0.0	0.0	8771.0	0.0	0.0	0.0	2232.0	45.0	34.0	3.0	0.0	22.0	0.0	0.0	15.0	0.0	0.0	208.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	188.0	5.0	0.0	0.0	0.0	1.0	12.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	634.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	289.0	0.0	2.0	2.0	33.0	12.0	8.0	0.0	0.0	183.0	7.0	0.0	0.0	2.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	11.0	420.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	7.0	0.0	0.0
116A	0.0	0.0	0.0	0.0	4.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	220.0	0.0	1.0	0.0	0.0	0.0	0.0	58.0	0.0	0.0	0.0	35099.0	1089.0	0.0	9.0	3.0	106.0	5.0	0.0	529.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	1.0	0.0	0.0	8.0	27.0	4.0	0.0	1508.0	19.0	2.0	86.0	0.0	0.0	1.0	13.0	0.0	0.0	0.0	0.0	1.0	33.0	12965.0	2.0	8041.0	0.0	197.0	1436.0	4.0	1.0	72.0	0.0	1.0	23.0	0.0	0.0	1392.0	0.0	0.0	0.0	0.0	0.0	1.0	1846.0	0.0	0.0	1.0	5.0	674.0	4046.0	21.0	0.0	1.0	0.0	1.0	5075.0	0.0	0.0	3.0	0.0	0.0	37.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	169.0	0.0	0.0	6.0	0.0	0.0	171.0	0.0	0.0	0.0	684.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1178.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0	0.0	1346.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
099A	0.0	0.0	0.0	0.0	6.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	4.0	0.0	17.0	0.0	175.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	21912.0	0.0	0.0	8.0	66.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	39.0	1.0	0.0	1396.0	0.0	0.0	5.0	0.0	0.0	75.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8070.0	0.0	1394.0	0.0	281.0	530.0	5.0	0.0	1050.0	0.0	2.0	448.0	0.0	0.0	517.0	0.0	0.0	0.0	0.0	2.0	0.0	2184.0	3.0	0.0	0.0	655.0	70.0	685.0	0.0	0.0	1609.0	5.0	144.0	9.0	0.0	0.0	148.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	3.0	0.0	0.0	11.0	4.0	30.0	0.0	0.0	0.0	11885.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	5.0	0.0	0.0	1.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	330.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	10.0	84.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	0.0	4.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
120A	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	35.0	1.0	0.0	1.0	1.0	1.0	36.0	2.0	0.0	0.0	0.0	27076.0	1465.0	0.0	51.0	1626.0	1.0	5.0	260.0	1.0	330.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	7.0	7.0	3.0	0.0	1712.0	10.0	0.0	37.0	3.0	0.0	463.0	4.0	3.0	0.0	0.0	0.0	1.0	0.0	5032.0	201.0	875.0	0.0	340.0	92.0	1.0	1.0	917.0	0.0	0.0	439.0	0.0	0.0	77.0	10.0	0.0	0.0	1.0	0.0	0.0	12460.0	1.0	0.0	0.0	4780.0	299.0	491.0	2.0	0.0	48.0	7.0	3.0	1008.0	0.0	0.0	12.0	0.0	0.0	20.0	1.0	0.0	0.0	0.0	7.0	0.0	2.0	0.0	104.0	0.0	0.0	0.0	31.0	0.0	7.0	0.0	0.0	0.0	1028.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	3.0	0.0	0.0	1897.0	0.0	0.0	0.0	3.0	0.0	29.0	0.0	0.0	0.0	2.0	0.0	166.0	114.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	213.0	0.0	0.0	0.0	2.0	3.0	4.0	0.0	0.0	38.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	3.0	2.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
15A	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	11.0	0.0	229.0	0.0	0.0	3.0	1.0	1.0	23.0	0.0	1.0	0.0	0.0	14804.0	358.0	0.0	27.0	450.0	0.0	0.0	271.0	179.0	73.0	0.0	0.0	0.0	21115.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	10.0	2.0	0.0	2.0	0.0	0.0	108.0	6.0	0.0	3876.0	60.0	1.0	219.0	5.0	0.0	211.0	10.0	0.0	0.0	1.0	0.0	0.0	0.0	7563.0	51.0	1377.0	0.0	506.0	337.0	0.0	9.0	803.0	0.0	0.0	2713.0	0.0	0.0	168.0	20.0	0.0	0.0	0.0	0.0	0.0	8154.0	0.0	0.0	0.0	4085.0	268.0	8189.0	0.0	0.0	0.0	627.0	0.0	1119.0	0.0	0.0	35.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	120.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	198.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	1358.0	0.0	0.0	0.0	3.0	1.0	7.0	0.0	0.0	0.0	0.0	33.0	60.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	535.0	0.0	0.0	1.0	26.0	7.0	5.0	0.0	0.0	233.0	0.0	1.0	0.0	1.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	21.0	5.0	16.0	456.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	143.0	0.0	0.0	0.0	0.0
25A	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	151.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	19431.0	162.0	0.0	3.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	4.0	1.0	2455.0	0.0	0.0	385.0	49.0	0.0	117.0	39.0	14.0	0.0	0.0	0.0	0.0	0.0	5274.0	39.0	548.0	2.0	369.0	867.0	5.0	2.0	1273.0	0.0	0.0	1978.0	0.0	0.0	653.0	0.0	0.0	0.0	2.0	0.0	0.0	4088.0	1.0	0.0	0.0	486.0	311.0	43.0	0.0	0.0	0.0	0.0	0.0	766.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	123.0	1.0	0.0	0.0	9.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	1.0	2827.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	222.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7A	0.0	0.0	0.0	0.0	32.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	2.0	0.0	7.0	0.0	0.0	0.0	20468.0	52.0	0.0	111.0	33.0	1.0	0.0	90.0	8.0	15.0	0.0	0.0	594.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	8.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	106.0	0.0	0.0	0.0	4.0	1.0	3215.0	17.0	0.0	2423.0	1.0	0.0	720.0	41.0	0.0	252.0	21.0	25.0	0.0	0.0	0.0	0.0	0.0	11800.0	203.0	3601.0	0.0	1174.0	412.0	0.0	7.0	2579.0	0.0	0.0	1599.0	0.0	0.0	520.0	0.0	0.0	0.0	1.0	1.0	0.0	25016.0	0.0	0.0	0.0	8230.0	91.0	4316.0	0.0	0.0	0.0	0.0	0.0	225.0	0.0	0.0	69.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	609.0	6.0	0.0	0.0	8.0	1.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	755.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	10.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	5.0	76.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
